University,CGPA,GRE,TOEFL,IELTS,Gap_year,Ugrad_Major,Work_Experience,Degree,Paper,Funding,Ugrad,Decision
Rutgers University,3.09,325,100,7.3,0,EEE,Internship,PhD,2,None,IUT,Rejected
Binghamton University,3.67,303,100,6.8,1,Biology,Full-time Job,PhD,2,Partial,RUET,Rejected
University of Kansas,3.62,320,100,8.3,2,CE,None,PhD,0,None,NSU,Rejected
University of Minnesota Duluth,3.04,311,89,7.0,0,EEE,Full-time Job,PhD,2,Partial,BUET,Rejected
Case Western Reserve University,2.95,302,105,7.2,0,Biology,Full-time Job,PhD,2,None,BRAC,Rejected
"University of California, Riverside",3.2,317,100,8.1,0,Physics,Internship,MS,2,Full,RUET,Rejected
University of Minnesota,3.3,309,104,7.8,2,Physics,Internship,MS,2,None,IUT,Rejected
Case Western Reserve University,3.45,321,107,8.0,0,ME,None,PhD,3+,Partial,KUET,Rejected
University of Florida,3.73,318,111,7.0,2,ME,Internship,MS,0,Partial,IUT,Accepted
Princeton University,3.79,309,83,7.0,2,CSE,Internship,MS,0,None,CUET,Accepted
Texas State University,3.07,310,108,7.9,0,EEE,Internship,MS,2+,Partial,CUET,Accepted
University of North Carolina at Charlotte,3.15,311,82,7.7,1,EEE,Internship,MS,0,Partial,RUET,Accepted
University of Minnesota,3.84,307,95,6.6,0,CE,None,MS,2+,None,CUET,Rejected
Texas State University,3.1,318,98,8.0,2,Biology,Internship,PhD,0,Partial,BRAC,Rejected
Missouri State University,3.33,298,111,7.8,0,CE,None,MS,0,Full,KUET,Rejected
Duke University,3.35,312,112,7.6,0,Biology,Internship,PhD,3+,None,CUET,Accepted
University of Minnesota Duluth,3.7,303,106,7.1,0,Mathematics,Full-time Job,PhD,3,Full,IUT,Rejected
Princeton University,3.05,303,116,7.1,0,Physics,Full-time Job,PhD,2,Partial,NSU,Rejected
The University of Texas at Austin,2.97,304,104,7.1,0,Biology,Internship,PhD,2+,Full,KUET,Accepted
Rice University,3.67,309,101,9.0,0,Mathematics,Internship,PhD,3,Full,NSU,Rejected
Texas Tech University,3.08,314,112,7.2,0,Mathematics,Internship,PhD,1,None,DU,Rejected
Case Western Reserve University,3.3,323,90,7.6,1,Biology,Internship,MS,2+,None,KUET,Rejected
University of Pittsburgh,3.37,303,102,7.5,2,CE,None,MS,0,Partial,DU,Accepted
Stony Brook University,3.32,305,105,7.2,1,Biology,None,MS,3+,Full,BRAC,Rejected
Dartmouth College,3.46,306,98,8.1,0,CSE,Internship,MS,0,Partial,DU,Rejected
University College Dublin,3.54,299,115,8.8,0,Biology,Internship,MS,1,Partial,BUET,Accepted
Wayne State University,3.38,318,85,6.9,2,Biology,None,PhD,3+,None,BUET,Rejected
Columbia University,2.76,311,117,7.4,0,CE,Internship,PhD,2,Full,IUT,Rejected
Northeastern University,3.1,313,98,7.3,0,CSE,None,MS,1,None,RUET,Accepted
University of Houston,3.83,312,96,8.1,2,Physics,Internship,MS,2,Partial,DU,Rejected
Duke University,3.03,323,103,7.2,2,EEE,Internship,MS,3+,Full,KUET,Rejected
Auburn University,3.42,307,111,7.5,0,CSE,None,MS,0,None,IUT,Rejected
University of Utah,3.17,313,115,7.6,0,CSE,Internship,MS,0,Full,RUET,Accepted
"University of California, Berkeley",3.59,311,97,7.6,0,Biology,Full-time Job,MS,3+,Partial,CUET,Accepted
University of Central Florida,3.13,327,117,7.2,0,CSE,Full-time Job,PhD,0,Full,BUET,Accepted
Stevens Institute of Technology,3.2,305,86,8.0,0,EEE,Full-time Job,PhD,3+,Full,KUET,Accepted
University of Pennsylvania,3.14,295,116,8.3,0,ME,Full-time Job,MS,2,None,KUET,Accepted
Ohio State University,3.4,318,103,7.8,2,EEE,Internship,MS,2,None,BUET,Accepted
Johns Hopkins University,3.81,318,106,7.3,2,Mathematics,None,PhD,3+,Partial,RUET,Rejected
"University of California, Santa Cruz",4.0,317,92,7.5,2,Mathematics,Full-time Job,MS,1,Full,DU,Rejected
Indiana University Bloomington,3.69,315,105,8.4,0,Mathematics,Internship,MS,3,Full,IUT,Rejected
University of Rhode Island,3.46,298,88,7.2,2,CSE,Internship,PhD,0,Partial,NSU,Rejected
University of Kansas,3.32,290,103,7.8,0,CE,Full-time Job,MS,3+,Partial,DU,Rejected
Duke University,4.0,326,112,8.0,2,Mathematics,Internship,MS,2,Full,CUET,Rejected
"University of California, Los Angeles",3.16,310,80,6.8,0,Mathematics,Internship,MS,1,Full,BRAC,Rejected
Binghamton University,3.7,304,88,6.6,2,CSE,Full-time Job,MS,3,Partial,CUET,Rejected
King Fahd University of Petroleum and Minerals,2.8,317,102,6.3,2,CE,Full-time Job,MS,2,Partial,IUT,Accepted
University of California Merced,3.32,305,94,7.1,1,Biology,Full-time Job,PhD,2+,Partial,RUET,Accepted
Pennsylvania State University,3.64,311,118,6.9,0,Biology,Full-time Job,PhD,3,Partial,KUET,Rejected
Louisiana State University,3.2,299,95,7.1,0,Biology,None,MS,1,Full,DU,Accepted
University of North Carolina at Chapel Hill,2.69,298,88,8.0,1,Biology,Full-time Job,MS,3,Full,BUET,Rejected
University of Illinois Urbana-Champaign,3.39,314,107,7.2,2,Mathematics,None,MS,0,None,RUET,Rejected
Yale University,3.72,318,87,8.0,0,CSE,None,PhD,2,Partial,KUET,Rejected
Clemson University,3.77,324,120,6.7,0,EEE,None,MS,2+,Partial,CUET,Rejected
Yale University,3.17,316,97,6.9,1,CE,Internship,PhD,3+,None,NSU,Rejected
Michigan State University,3.3,302,100,6.7,0,EEE,None,PhD,2+,Full,KUET,Rejected
University of Vermont,3.86,298,80,6.7,0,EEE,None,MS,1,Partial,NSU,Rejected
University of Chicago,2.83,316,104,8.5,1,CSE,None,MS,2,Partial,IUT,Accepted
Texas A&M University,3.93,332,99,7.6,0,EEE,Internship,PhD,3+,Full,BRAC,Rejected
Washington University in St. Louis,3.93,302,99,7.4,0,ME,None,PhD,1,None,DU,Accepted
"University of Maryland, Baltimore County",3.52,307,100,7.6,1,EEE,None,MS,0,None,IUT,Rejected
University of Washington,3.21,299,80,7.8,0,Physics,Internship,PhD,0,Partial,NSU,Rejected
Princeton University,3.15,316,108,6.8,0,Biology,Full-time Job,PhD,3+,Full,KUET,Rejected
Lehigh University,3.29,312,103,7.8,2,Mathematics,Full-time Job,PhD,1,Full,BUET,Rejected
University of Florida,3.61,300,90,7.3,0,Mathematics,Internship,PhD,2,None,BUET,Accepted
Texas Tech University,2.98,311,90,7.8,0,CE,Full-time Job,PhD,2,Partial,BRAC,Accepted
University of Pittsburgh,3.44,307,90,7.6,0,Biology,Internship,PhD,0,Full,CUET,Accepted
University of Pittsburgh,3.29,298,108,7.3,0,Physics,Full-time Job,PhD,1,Partial,CUET,Accepted
Virginia Tech,3.87,300,87,7.3,0,Physics,None,PhD,3+,Full,IUT,Rejected
University of Toledo,4.0,290,97,7.3,0,Biology,Internship,PhD,2,None,KUET,Rejected
Colorado School of Mines,3.81,310,111,7.3,0,ME,None,PhD,1,Full,DU,Rejected
Princeton University,3.79,319,95,7.7,0,CE,Full-time Job,MS,3,Full,BUET,Rejected
"University of California, Santa Barbara",3.6,310,102,7.4,0,CSE,Full-time Job,PhD,1,Full,BUET,Accepted
University of Rhode Island,3.25,308,98,7.0,0,CSE,Internship,PhD,2,None,BUET,Rejected
Louisiana Tech University,3.38,314,102,7.3,0,CE,None,PhD,1,None,DU,Rejected
University of North Carolina at Chapel Hill,3.55,317,105,7.6,2,Physics,Internship,PhD,1,Full,NSU,Accepted
Carnegie Mellon University,3.85,306,103,6.7,0,Biology,Full-time Job,MS,2+,Full,KUET,Rejected
Pratt Institute,3.71,302,86,8.0,1,EEE,Internship,MS,0,None,BUET,Accepted
University of South Florida,3.38,297,102,7.6,0,Physics,None,MS,3+,Full,DU,Rejected
Florida State University,4.0,298,111,7.6,2,Biology,Internship,MS,1,None,DU,Accepted
Rensselaer Polytechnic Institute,3.64,311,108,7.4,0,Mathematics,Full-time Job,MS,1,Partial,BUET,Rejected
Mississippi State University,3.86,316,116,7.7,0,Biology,None,MS,2+,None,BUET,Accepted
Iowa State University,3.09,292,95,7.7,0,CE,Internship,MS,2,Full,KUET,Accepted
Arizona State University,3.6,309,95,8.1,1,Mathematics,Full-time Job,PhD,3+,Full,RUET,Rejected
Missouri University of Science and Technology,3.57,311,87,7.6,2,Physics,Internship,MS,0,Full,RUET,Rejected
"University of California, Santa Cruz",3.35,290,87,7.0,0,ME,None,PhD,1,Full,DU,Rejected
Purdue University,3.55,316,83,7.3,2,Physics,Full-time Job,MS,2+,Full,IUT,Accepted
Brigham Young University,3.01,296,110,7.9,0,CE,Internship,PhD,1,Full,BRAC,Rejected
Iowa State University,3.25,307,88,7.6,0,CE,None,PhD,3+,Full,CUET,Rejected
Iowa State University,3.28,313,80,8.0,2,CSE,Full-time Job,MS,2,None,KUET,Accepted
"University of California, Santa Barbara",3.17,298,89,7.6,0,CE,None,PhD,3+,Partial,DU,Rejected
North Carolina State University,3.79,302,92,6.9,0,EEE,None,MS,3+,Partial,IUT,Rejected
University of Central Florida,3.04,322,102,8.4,0,CSE,None,PhD,3,Partial,BRAC,Accepted
University of Utah,3.52,314,98,7.3,2,Physics,None,PhD,0,None,DU,Rejected
University of Texas at Dallas,3.33,305,108,7.2,0,ME,None,MS,1,None,BRAC,Accepted
Cornell University,3.83,312,105,8.0,0,CE,Internship,PhD,1,Full,RUET,Accepted
Boston University,3.4,301,105,8.4,0,CE,None,MS,3+,Full,IUT,Accepted
Dartmouth College,3.44,295,94,7.0,0,CE,None,PhD,0,Partial,BRAC,Accepted
University of Cincinnati,3.53,315,110,8.8,0,Physics,Internship,PhD,3+,Partial,DU,Accepted
Iowa State University,3.28,308,98,8.2,0,Physics,Internship,PhD,2+,Partial,BRAC,Rejected
Boston University,3.84,320,93,7.5,2,EEE,Full-time Job,PhD,2+,Full,DU,Rejected
University of Idaho,3.51,297,91,7.1,0,Physics,None,MS,3,None,KUET,Rejected
Worcester Polytechnic Institute,3.22,305,92,7.9,0,CE,None,MS,0,Full,BRAC,Rejected
Colorado State University,3.37,305,103,7.3,0,ME,Full-time Job,MS,2,None,BRAC,Rejected
University of Texas at Arlington,3.43,314,98,7.0,0,EEE,None,PhD,2+,Full,BRAC,Accepted
University of Utah,2.9,324,106,7.1,0,CSE,Full-time Job,PhD,3+,Full,DU,Rejected
University of Virginia,3.65,324,105,7.6,0,CSE,Full-time Job,PhD,1,Full,BUET,Accepted
Texas A&M University,3.5,316,115,6.9,0,Biology,Full-time Job,MS,0,Partial,RUET,Rejected
University of Houston,3.38,293,98,7.3,0,CE,None,MS,2+,Full,DU,Rejected
Yale University,3.29,301,100,8.0,0,EEE,None,PhD,0,None,KUET,Rejected
Georgia Institute of Technology,3.33,294,106,8.1,2,EEE,None,PhD,0,Full,NSU,Accepted
West Virginia University,3.32,320,101,7.4,0,EEE,Full-time Job,PhD,3,None,BUET,Rejected
Georgetown University,3.89,314,112,7.8,1,Physics,Full-time Job,PhD,3+,Partial,RUET,Rejected
University of Nebraska-Lincoln,3.38,296,105,7.1,2,Biology,Internship,MS,0,Partial,RUET,Rejected
University of Massachusetts Amherst,2.93,299,90,7.7,1,CSE,Internship,PhD,3+,None,NSU,Rejected
University of Texas at Dallas,3.38,291,104,7.4,2,CSE,None,MS,1,None,IUT,Rejected
Illinois Institute of Technology,3.6,310,117,7.5,2,Physics,Full-time Job,MS,3,None,BRAC,Rejected
University of Illinois Chicago,3.07,306,91,8.2,1,Mathematics,Internship,PhD,0,Partial,IUT,Rejected
Colorado School of Mines,3.14,297,106,7.0,0,Physics,Full-time Job,MS,2+,Full,RUET,Rejected
Clemson University,3.38,314,101,7.8,0,Biology,Internship,MS,3,None,RUET,Rejected
Johns Hopkins University,3.63,301,94,7.0,0,CE,Full-time Job,PhD,1,Full,CUET,Rejected
Missouri University of Science and Technology,3.05,313,104,7.5,1,ME,Internship,PhD,1,Full,NSU,Accepted
Case Western Reserve University,3.15,316,110,6.7,2,EEE,None,PhD,2,Partial,NSU,Rejected
New Jersey Institute of Technology,3.62,316,110,6.8,1,Physics,Internship,MS,2,Partial,IUT,Accepted
University of Toledo,2.96,299,100,7.3,0,Physics,Full-time Job,PhD,0,Full,BUET,Rejected
University of North Carolina at Chapel Hill,3.47,310,95,7.7,2,Biology,Internship,MS,0,None,CUET,Rejected
Pratt Institute,3.13,316,95,8.0,2,Mathematics,Internship,PhD,3,Full,RUET,Rejected
University of Idaho,3.62,316,89,7.8,0,CE,None,PhD,1,Partial,NSU,Accepted
Rutgers University,3.36,294,85,7.3,0,Mathematics,Full-time Job,PhD,0,None,RUET,Rejected
University of Texas at Dallas,3.44,295,102,7.8,2,EEE,Full-time Job,PhD,3+,Full,DU,Accepted
Washington University in St. Louis,3.26,331,94,7.0,0,Physics,Full-time Job,PhD,0,None,KUET,Accepted
University of Massachusetts Dartmouth,3.65,309,110,7.4,0,CSE,Full-time Job,PhD,3,Full,BUET,Accepted
University of Florida,3.65,296,92,8.1,1,EEE,Internship,MS,0,Partial,NSU,Accepted
Washington University in St. Louis,3.37,309,99,7.9,0,CE,Internship,MS,3+,None,IUT,Accepted
George Mason University,3.46,319,106,7.0,2,Mathematics,None,MS,2+,None,IUT,Rejected
Georgetown University,3.35,299,109,7.5,0,CSE,None,PhD,2,Partial,BUET,Rejected
University of Arizona,3.32,315,87,7.6,2,Mathematics,Full-time Job,MS,3+,Partial,NSU,Accepted
Illinois Institute of Technology,2.89,328,102,8.0,0,EEE,Internship,MS,3,None,IUT,Accepted
Louisiana Tech University,3.07,309,111,6.5,2,CSE,Full-time Job,MS,1,Partial,NSU,Rejected
Lehigh University,3.29,319,103,7.5,0,CSE,Full-time Job,PhD,1,None,BUET,Rejected
"University of California, Santa Cruz",3.04,320,103,7.2,0,ME,Internship,MS,2,Full,IUT,Accepted
New Jersey Institute of Technology,3.56,303,101,7.9,0,Biology,Internship,MS,2,Partial,DU,Accepted
New Mexico Institute of Mining and Technology,3.42,300,80,7.9,0,Mathematics,Full-time Job,PhD,1,Full,CUET,Rejected
University of Notre Dame,3.57,313,94,7.3,2,EEE,Full-time Job,PhD,2+,None,IUT,Accepted
Colorado State University,3.73,301,111,6.5,0,CE,Internship,MS,0,Full,DU,Accepted
University of Idaho,3.8,305,93,6.7,0,Physics,Full-time Job,PhD,0,Partial,BUET,Accepted
Clemson University,3.53,317,101,7.6,2,CE,Internship,MS,2,Full,DU,Rejected
Oklahoma State University,4.0,301,111,6.9,0,Biology,None,PhD,2,Full,NSU,Accepted
Pratt Institute,3.58,306,120,8.0,0,CSE,Internship,PhD,3+,None,BUET,Accepted
Indiana University Bloomington,3.3,295,95,7.6,0,CE,None,PhD,2+,Full,DU,Rejected
University of North Carolina at Charlotte,3.4,307,93,8.2,2,CE,Internship,MS,2+,None,DU,Rejected
"University of California, Irvine",3.23,301,95,7.5,1,Physics,Internship,MS,3+,Partial,CUET,Accepted
University of Vermont,3.79,310,80,8.2,0,CE,Internship,MS,0,Full,BUET,Accepted
University of Arizona,2.99,294,94,7.0,0,Physics,Internship,PhD,1,None,IUT,Rejected
The University of Texas at Austin,3.44,309,107,6.8,0,CE,Internship,MS,3+,None,IUT,Rejected
University of Illinois Urbana-Champaign,3.42,319,88,7.5,0,CSE,Full-time Job,PhD,2+,Partial,BUET,Rejected
University of Rhode Island,3.81,306,80,6.8,0,CSE,Internship,PhD,3+,Full,BUET,Accepted
University of Vermont,3.8,311,105,8.0,0,EEE,None,MS,2,None,RUET,Accepted
University of Idaho,3.19,316,89,7.8,1,Physics,None,PhD,2,None,DU,Rejected
University of North Carolina at Chapel Hill,3.7,298,101,7.3,0,ME,Full-time Job,MS,3,None,BRAC,Accepted
Boston University,2.95,329,99,8.2,0,EEE,Internship,MS,2,None,KUET,Rejected
University of Vermont,3.15,338,100,7.5,2,Physics,Full-time Job,MS,2+,Full,IUT,Rejected
Clemson University,3.66,306,94,7.5,0,CE,None,MS,2+,None,RUET,Rejected
University of Toledo,3.31,308,95,7.3,0,CE,Full-time Job,PhD,1,None,DU,Rejected
Fordham University,3.77,330,87,8.0,0,ME,None,PhD,2+,Full,NSU,Rejected
Duke University,3.06,305,99,7.5,0,EEE,None,PhD,3,None,NSU,Accepted
University College Dublin,4.0,295,104,7.9,2,CSE,Internship,MS,1,Partial,KUET,Accepted
University of Texas at El Paso,3.18,306,109,8.2,0,CSE,Internship,PhD,2+,Full,BRAC,Accepted
University of Florida,3.23,338,104,7.8,2,CSE,None,PhD,2+,Full,BUET,Rejected
Carnegie Mellon University,3.97,308,111,6.8,0,Physics,Internship,PhD,3,Full,BUET,Rejected
Harvard University,4.0,314,92,6.2,1,ME,Full-time Job,PhD,2,Partial,NSU,Accepted
University of Massachusetts Amherst,3.55,300,101,8.1,0,CE,Internship,PhD,2+,Full,CUET,Accepted
University of South Florida,3.23,316,108,7.0,1,Biology,Internship,MS,2,Full,BRAC,Rejected
Iowa State University,3.73,308,119,7.6,0,EEE,Internship,MS,2,Partial,IUT,Accepted
Case Western Reserve University,3.23,321,92,7.7,0,ME,Internship,MS,2+,Full,BUET,Accepted
University of Texas at Dallas,3.42,303,85,7.9,1,CE,None,PhD,3+,None,BRAC,Accepted
University of Connecticut ,3.57,321,113,7.4,2,Biology,Internship,PhD,1,Partial,BRAC,Rejected
Purdue University,3.18,310,97,8.0,0,Physics,Full-time Job,MS,3+,Full,NSU,Rejected
Georgia Institute of Technology,2.83,331,99,7.7,0,CSE,Full-time Job,MS,3+,Partial,BUET,Accepted
University of Alabama,3.4,315,107,7.0,0,Mathematics,None,PhD,0,Full,DU,Accepted
University of California Merced,3.32,312,97,7.0,2,CSE,Internship,PhD,3+,None,RUET,Rejected
"University of California, Santa Cruz",3.91,296,91,7.5,0,EEE,Internship,MS,2,Full,BUET,Accepted
University of Nebraska-Lincoln,3.95,314,107,8.3,0,CE,Internship,MS,0,Full,NSU,Rejected
Illinois Institute of Technology,3.87,304,89,7.6,1,ME,None,PhD,0,Full,DU,Rejected
"University of Maryland, Baltimore County",3.31,308,104,7.3,0,Physics,Full-time Job,MS,3,Full,CUET,Accepted
Yale University,3.98,312,94,7.9,0,CE,Internship,MS,2+,Partial,IUT,Rejected
Massachusetts Institute of Technology,2.96,304,102,7.3,2,Physics,None,MS,2+,Partial,CUET,Rejected
University of Texas at Dallas,3.31,303,80,7.9,1,Physics,None,MS,2,Full,RUET,Rejected
Louisiana Tech University,3.02,305,93,7.1,0,ME,Full-time Job,PhD,3+,Full,KUET,Accepted
Colorado School of Mines,3.6,315,93,8.2,0,CSE,Internship,PhD,1,Partial,CUET,Rejected
Virginia Tech,3.47,320,101,7.0,0,ME,None,MS,0,Partial,KUET,Rejected
Rice University,3.28,306,120,7.7,2,ME,Full-time Job,PhD,2+,Partial,NSU,Rejected
King Fahd University of Petroleum and Minerals,3.67,323,114,6.7,1,CE,None,MS,1,Partial,RUET,Rejected
University of Vermont,3.3,307,92,7.7,0,CE,Full-time Job,PhD,1,Full,CUET,Accepted
University of Texas at Austin,3.37,313,107,8.0,2,CSE,Internship,MS,3+,Partial,NSU,Accepted
Washington State University,2.88,310,107,7.4,0,CSE,None,PhD,2+,None,IUT,Accepted
"University of California, Berkeley",3.36,310,91,7.6,0,Physics,Internship,PhD,2,Partial,IUT,Accepted
Johns Hopkins University,3.66,315,84,6.8,0,EEE,Internship,PhD,1,None,KUET,Accepted
Wayne State University,3.38,290,97,7.5,0,Mathematics,Internship,MS,2+,Partial,DU,Rejected
University of Minnesota,2.96,294,107,7.8,0,Biology,Full-time Job,PhD,1,Partial,RUET,Rejected
University of Notre Dame,3.32,303,108,7.4,1,CSE,Full-time Job,MS,3,None,NSU,Rejected
West Virginia University,3.6,294,96,6.1,0,CSE,Full-time Job,PhD,3,None,CUET,Rejected
University of Louisiana at Lafayette,3.69,331,100,7.6,0,CE,Full-time Job,MS,2+,Full,BUET,Rejected
University of Pittsburgh,2.66,307,102,6.9,1,CSE,None,PhD,2+,Partial,KUET,Rejected
University of Oklahoma,3.57,306,103,7.8,0,Physics,None,PhD,2+,None,DU,Rejected
Stony Brook University,3.49,315,90,7.5,2,Biology,None,MS,0,Full,RUET,Rejected
University of Alabama,3.5,316,104,8.1,2,CE,Internship,PhD,1,None,IUT,Accepted
Louisiana Tech University,3.12,299,98,7.2,0,CE,Internship,MS,3,Partial,RUET,Accepted
Iowa State University,3.88,332,107,7.7,0,Physics,Internship,MS,2,None,RUET,Accepted
Dartmouth College,3.01,303,94,7.9,0,Physics,Full-time Job,MS,3+,Partial,BRAC,Rejected
University of South Florida,3.87,309,80,7.8,0,CE,Full-time Job,PhD,0,Partial,BRAC,Accepted
University of Texas at Dallas,3.85,326,92,8.4,0,CSE,Full-time Job,MS,3,None,KUET,Rejected
University of Pennsylvania,3.19,308,108,6.8,2,CE,Full-time Job,PhD,1,Partial,KUET,Rejected
University of Colorado Boulder,3.72,311,80,8.0,1,ME,Full-time Job,PhD,3,Full,NSU,Rejected
University of Toledo,3.01,324,97,8.2,1,CE,Internship,PhD,2+,None,CUET,Rejected
Texas Tech University,3.43,302,106,7.5,0,CSE,Internship,PhD,2+,Full,BUET,Accepted
University of Tennessee,3.17,304,97,7.1,0,Mathematics,None,MS,3,None,RUET,Rejected
Buffalo State University,3.1,290,87,8.1,0,EEE,None,PhD,2,Full,CUET,Accepted
University of Texas at Dallas,3.09,312,120,6.7,0,ME,Full-time Job,MS,3+,Partial,KUET,Rejected
Rutgers University,3.4,315,99,8.0,0,Physics,Full-time Job,MS,3,None,KUET,Rejected
Georgia Institute of Technology,3.46,304,109,7.3,0,Biology,Full-time Job,MS,1,Full,BUET,Rejected
University of California San Diego,3.09,312,113,7.0,0,CE,Internship,MS,3,None,NSU,Rejected
"University of California, Los Angeles",3.2,301,113,7.3,0,ME,Internship,MS,2+,Full,KUET,Rejected
Clemson University,3.61,318,102,7.5,1,Biology,None,MS,0,Partial,IUT,Accepted
University of Virginia,3.04,306,100,7.4,2,Biology,Internship,PhD,1,None,BRAC,Rejected
University of Nebraska-Lincoln,3.99,319,93,6.8,1,CSE,Full-time Job,PhD,2,None,RUET,Rejected
Texas State University,3.49,293,86,7.1,0,ME,Internship,MS,0,Full,BUET,Rejected
University of Houston,2.82,302,98,7.8,0,ME,Full-time Job,PhD,2+,None,DU,Accepted
University of Arizona,3.47,321,93,7.6,2,Physics,Full-time Job,MS,2+,None,IUT,Rejected
King Fahd University of Petroleum and Minerals,3.05,313,110,8.9,0,Physics,None,MS,1,Full,NSU,Rejected
Illinois Institute of Technology,2.89,309,87,7.9,0,Mathematics,Internship,MS,3+,None,IUT,Rejected
Ohio University,3.17,299,107,6.7,2,CE,Internship,PhD,3,Full,KUET,Accepted
University of Minnesota Duluth,3.26,308,89,7.4,0,Mathematics,Full-time Job,PhD,3+,Partial,CUET,Rejected
University of Virginia,3.81,325,106,7.0,0,CSE,Full-time Job,PhD,0,None,RUET,Rejected
"University of California, Santa Barbara",3.17,311,102,8.5,0,Biology,Internship,MS,3,Partial,BUET,Rejected
Washington State University,4.0,304,105,7.7,0,Biology,Full-time Job,MS,0,None,KUET,Rejected
University of Utah,3.03,310,105,7.2,1,CSE,Internship,MS,2,None,BUET,Accepted
Florida State University,2.94,309,88,8.7,2,Mathematics,Full-time Job,PhD,2+,Full,NSU,Rejected
Dartmouth College,3.38,306,94,7.9,0,Mathematics,None,PhD,1,Full,DU,Rejected
University of Massachusetts Amherst,3.36,320,80,7.6,0,ME,None,PhD,2,Full,BUET,Accepted
Stony Brook University,3.33,321,103,7.7,2,Biology,Internship,MS,3+,None,BUET,Accepted
Pennsylvania State University,3.78,300,85,8.3,2,CSE,Internship,PhD,2+,Partial,BRAC,Accepted
Fordham University,3.31,292,98,7.4,1,Physics,None,PhD,2,Full,RUET,Rejected
Cornell University,2.9,309,100,7.3,0,CE,Full-time Job,PhD,2,Partial,CUET,Accepted
Stevens Institute of Technology,2.74,315,107,7.3,1,CE,None,MS,3,Full,BRAC,Rejected
Colorado State University,3.09,338,105,7.6,2,Biology,None,PhD,3,Full,BUET,Rejected
University of Alabama,3.15,309,108,8.2,0,Mathematics,Internship,PhD,1,Partial,IUT,Rejected
Buffalo State University,3.16,305,105,7.8,0,CSE,Internship,MS,3+,Partial,BUET,Accepted
University of Houston,3.5,312,86,8.1,0,ME,Full-time Job,PhD,3,None,BRAC,Rejected
University of Delaware,3.3,308,102,7.4,0,EEE,Full-time Job,MS,3,Partial,NSU,Accepted
Texas A&M University,3.71,315,107,7.2,0,Biology,None,MS,3+,Full,BUET,Rejected
Missouri University of Science and Technology,3.65,295,97,7.5,0,ME,None,MS,1,None,KUET,Rejected
University of Arizona,2.87,315,111,7.3,0,Mathematics,Internship,PhD,2+,Full,RUET,Accepted
The University of Texas at Arlington,3.25,327,92,7.2,1,ME,Full-time Job,PhD,3,None,RUET,Accepted
Buffalo State University,2.99,298,108,7.7,1,CSE,Full-time Job,PhD,0,None,BRAC,Accepted
University of Virginia,3.8,297,106,6.8,0,Biology,None,MS,3+,Full,BRAC,Rejected
Rutgers University,3.6,290,114,6.5,2,CSE,Internship,MS,2,Full,IUT,Accepted
University of North Carolina at Charlotte,3.39,309,96,8.4,0,Physics,Internship,PhD,0,Partial,KUET,Rejected
University of Michigan,3.0,308,99,7.4,0,ME,None,PhD,2+,None,RUET,Accepted
Virginia Tech,3.29,316,91,7.7,0,Physics,Internship,MS,3+,None,BUET,Accepted
New Mexico Institute of Mining and Technology,3.04,314,108,7.0,0,CE,Internship,PhD,1,None,DU,Accepted
University of Alabama,3.17,291,96,7.9,0,CSE,Full-time Job,PhD,3,Partial,RUET,Rejected
University of Illinois Urbana-Champaign,3.16,317,97,7.5,2,Physics,None,MS,2,Partial,BRAC,Accepted
Binghamton University,2.99,304,83,6.6,0,CE,Internship,MS,2+,Partial,RUET,Rejected
University of California San Diego,3.5,298,99,8.4,0,ME,None,MS,0,Partial,BUET,Rejected
Boston University,3.19,330,91,7.8,0,Mathematics,None,PhD,3,Partial,BUET,Rejected
North Carolina State University,2.72,309,104,7.0,0,EEE,None,MS,1,Full,DU,Rejected
University of Vermont,3.02,295,100,8.4,0,EEE,Full-time Job,PhD,2,Full,BRAC,Accepted
Virginia Tech,3.23,296,105,7.9,0,Mathematics,None,PhD,1,Full,BRAC,Accepted
University College Dublin,3.85,293,119,7.4,2,Mathematics,Full-time Job,PhD,3+,Full,NSU,Rejected
University of North Carolina at Chapel Hill,3.51,313,82,8.1,0,EEE,None,PhD,3,None,CUET,Rejected
Missouri State University,3.18,307,114,7.3,0,Physics,Internship,MS,2+,Full,BUET,Rejected
Louisiana State University,3.45,307,99,7.6,0,EEE,Internship,MS,0,Partial,BRAC,Rejected
Wayne State University,3.11,311,101,7.8,0,Mathematics,Internship,MS,0,None,BUET,Rejected
University of Central Florida,3.67,323,95,7.6,0,EEE,Full-time Job,PhD,2+,None,KUET,Rejected
University of Florida,3.33,315,101,6.4,0,Biology,None,PhD,2,Full,BRAC,Rejected
Virginia Tech,3.22,321,83,7.8,2,Mathematics,Full-time Job,MS,2,Full,KUET,Rejected
Rutgers University,3.23,318,91,7.6,0,Mathematics,Full-time Job,PhD,2+,Full,NSU,Rejected
University of Virginia,3.43,305,109,8.1,0,CSE,Full-time Job,MS,1,None,KUET,Accepted
University of Massachusetts Amherst,3.14,302,109,8.5,1,CE,None,MS,2+,Partial,CUET,Rejected
University of Maryland,3.52,308,103,7.8,0,Biology,Internship,MS,2,Partial,DU,Accepted
University of Central Florida,3.56,293,94,6.9,0,CE,Internship,MS,3+,Full,NSU,Rejected
University of Chicago,3.4,301,102,7.3,1,CE,None,PhD,1,Full,NSU,Rejected
University of Houston,3.49,311,89,7.9,0,CE,None,PhD,3,Partial,DU,Rejected
